,Economics_section,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,добыча полезных ископаемых,5940.2,9099.2,11080.9,13912.4,16841.7,19726.9,23145.2,28107.5,33206.1,35363.4,39895.0,45132.0,50400.6,54161.2,58959.0,63695.0,69936.0,74474.1,83178.0,89343.7,95359.0,103473.5,118375.7,130825.6
1,обработка древесины ,1739.1,2310.3,2980.2,3754.8,4614.6,5895.4,6950.4,8815.6,11301.1,10947.2,12720.4,13941.9,15248.3,16949.7,18628.0,20365.0,22383.0,25656.5,26177.0,29398.9,30864.0,36313.8,40464.4,44434.6
2,металлургическое производство ,3854.9,5242.4,6285.2,7731.2,9196.8,10260.7,12001.5,14990.7,18171.1,17946.3,21152.1,23887.1,26564.2,28519.8,30437.0,33059.0,35310.0,49496.4,49982.0,53539.4,56928.0,63232.0,74947.7,85282.6
3,строительство,2639.8,3859.3,4806.9,6176.7,7304.7,9042.8,10869.2,14333.4,18574.0,18122.2,21171.7,23682.0,25950.6,27701.4,29354.0,29960.0,32332.0,33677.9,38518.0,42629.9,44738.0,51944.2,60849.5,68944.4
4,финансовая деятельность,5232.2,8885.2,13245.9,15561.2,17383.8,22463.5,27885.5,34879.8,41871.8,42372.9,50120.0,55788.9,58999.2,63333.0,68565.0,70088.0,80289.0,84904.0,91070.0,103667.8,112680.0,130223.3,146637.1,169105.7
5,образование,1240.2,1833.0,2927.3,3386.6,4203.4,5429.7,6983.3,8778.3,11316.8,13293.6,14075.2,15809.1,18995.3,23457.9,25862.0,26928.0,28088.0,30257.6,34361.0,37071.9,39563.0,43390.5,48400.2,54262.7
