,Economics_section,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,добыча полезных ископаемых,100,127.44,102.7,109.12,108.09,104.82,105.79,111.41,105.6,94.01,103.69,104.0,105.25,100.83,102.26,97.01,97.24,101.05,108.94,103.01,103.57,103.43,105.55,98.75
1,обработка древесины ,100,110.52,108.78,109.5,109.74,114.33,106.3,116.36,114.59,85.51,106.8,100.76,103.08,104.3,103.24,98.17,97.34,108.77,99.52,107.71,101.88,112.15,102.8,98.12
2,металлургическое производство ,100,113.14,101.11,106.91,106.22,99.85,105.46,114.59,108.35,87.18,108.33,103.82,104.81,100.73,100.26,97.53,94.6,133.02,98.5,102.73,103.18,105.88,109.35,101.67
3,строительство,100,121.63,105.04,111.68,105.6,110.79,108.37,120.98,115.84,86.13,107.38,102.83,103.28,100.16,99.55,91.65,95.58,98.84,111.56,106.14,101.84,110.67,108.08,101.24
4,финансовая деятельность,100,141.28,125.72,102.1,99.75,115.64,111.93,114.75,107.31,89.33,108.72,102.33,99.67,100.72,101.7,91.79,101.46,100.35,104.63,109.17,105.48,110.16,103.89,103.04
5,образование,100,122.96,134.68,100.55,110.83,115.6,115.96,115.32,115.24,103.7,97.32,103.25,113.25,115.87,103.57,93.5,92.38,102.22,110.77,103.47,103.56,104.54,102.91,100.17
